[0.0, 255]
[0.0, 255]
[0.0, 255]
[1.0, 255]
[1.0, 255]
[2.0, 255]
[2.0, 255]
[2.0, 255]
[2.0, 255]
[2.0, 255]
[2.0, 255]
[3.0, 255]
[4.0, 255]
[4.0, 255]
[5.0, 255]
[6.0, 255]
[6.0, 255]
[7.0, 255]
[7.0, 255]
[7.0, 255]
[9.0, 255]
[11.0, 255]
[12.0, 255]
[14.0, 255]
[14.0, 255]
[15.0, 255]
[17.0, 255]
[19.0, 255]
[20.0, 255]
[20.0, 255]
[22.0, 255]
[25.0, 255]
[25.0, 255]
[28.0, 33]
[29.0, 255]
[30.0, 33]
[31.0, 33]
[33.0, 33]
[34.0, 19]
[37.0, 62]
[38.0, 19]
[39.0, 62]
[41.0, 62]
[41.0, 19]
[44.0, 62]
[46.0, 19]
[48.0, 62]
[49.0, 19]
[50.0, 62]
[53.0, 62]
[56.0, 62]
[60.0, 61]
[62.0, 20]
[62.0, 20]
[63.0, 61]
[66.0, 61]
[68.0, 20]
[69.0, 61]
[71.0, 20]
[74.0, 255]
[74.0, 255]
[78.0, 63]
[81.0, 255]
[83.0, 63]
[84.0, 255]
[89.0, 46]
[89.0, 63]
[91.0, 46]
[92.0, 63]
[94.0, 46]
[98.0, 46]
[99.0, 20]
[104.0, 48]
[104.0, 20]
[107.0, 48]
[109.0, 20]
[111.0, 48]
[112.0, 20]
[116.0, 48]
[117.0, 53]
[121.0, 26]
[122.0, 53]
[124.0, 26]
[129.0, 26]
[131.0, 53]
[131.0, 53]
[133.0, 26]
[137.0, 34]
[140.0, 23]
[142.0, 34]
[143.0, 23]
[146.0, 34]
[148.0, 23]
[149.0, 34]
[152.0, 23]
[155.0, 35]
[159.0, 22]
[160.0, 35]
[162.0, 22]
[164.0, 35]
[167.0, 22]
[167.0, 35]
[172.0, 22]
[173.0, 29]
[177.0, 29]
[179.0, 21]
[182.0, 21]
[182.0, 29]
[185.0, 29]
[188.0, 21]
[190.0, 28]
[193.0, 21]
[194.0, 28]
[198.0, 28]
[200.0, 21]
[201.0, 28]
[204.0, 21]
[206.0, 27]
[209.0, 21]
[210.0, 27]
[214.0, 27]
[215.0, 21]
[217.0, 27]
[222.0, 23]
[222.0, 25]
[226.0, 23]
[226.0, 25]
[229.0, 25]
[231.0, 23]
[232.0, 25]
[236.0, 25]
[237.0, 23]
[240.0, 25]
[243.0, 25]
[244.0, 24]
[247.0, 25]
[249.0, 24]
[254.0, 27]
[254.0, 27]
[256.0, 24]
[257.0, 27]
[260.0, 27]
[261.0, 24]
[263.0, 27]
[269.0, 28]
[271.0, 29]
[271.0, 29]
[274.0, 28]
[275.0, 29]
[278.0, 29]
[280.0, 28]
[280.0, 29]
[283.0, 86]
[287.0, 28]
[287.0, 86]
[289.0, 86]
[291.0, 86]
[294.0, 255]
[295.0, 63]
[298.0, 63]
[300.0, 255]
[300.0, 63]
[302.0, 63]
[305.0, 61]
[306.0, 255]
[312.0, 61]
[312.0, 61]
[312.0, 61]
[313.0, 255]
[315.0, 61]
[317.0, 61]
[319.0, 61]
[321.0, 255]
[321.0, 61]
[324.0, 63]
[326.0, 255]
[326.0, 63]
[328.0, 63]
[329.0, 63]
[331.0, 255]
[333.0, 255]
[333.0, 255]
[334.0, 255]
[336.0, 255]
[338.0, 255]
[339.0, 255]
[341.0, 255]
[341.0, 255]
[341.0, 255]
[343.0, 255]
[344.0, 255]
[346.0, 255]
[346.0, 255]
[348.0, 255]
[349.0, 255]
[350.0, 20]
[351.0, 255]
[351.0, 255]
[354.0, 255]
[354.0, 255]
[354.0, 255]
[356.0, 20]
[356.0, 255]
[356.0, 255]
[357.0, 49]
[358.0, 49]
[358.0, 49]
[358.0, 49]
[360.0, 255]
[360.0, 255]
